area_id,area_key,area_name
1,tsurumi,横浜市鶴見区
2,kanagawa,横浜市神奈川区
3,nishi,横浜市西区
4,naka,横浜市中区
5,yokohamaminami,横浜市南区
6,hodogaya,横浜市保土ケ谷区
7,isogo,横浜市磯子区
8,kanazawa,横浜市金沢区
9,kouhoku,横浜市港北区
10,totsuka,横浜市戸塚区
11,kounan,横浜市港南区
12,asahi,横浜市旭区
13,yokohamamidori,横浜市緑区
14,seya,横浜市瀬谷区
15,sakae,横浜市栄区
16,izumi,横浜市泉区
17,aoba,横浜市青葉区
18,tsuzuki,横浜市都筑区
19,kawasaki,川崎市川崎区
20,saiwai,川崎市幸区
21,nakahara,川崎市中原区
22,takatsu,川崎市高津区
23,tama,川崎市多摩区
24,miyamae,川崎市宮前区
25,asao,川崎市麻生区
26,sagamiharamidori,相模原市緑区
27,tyuou,相模原市中央区
28,sagamiharaminami,相模原市南区
29,yokosuka,横須賀市
30,hiratsuka,平塚市
31,kamakura,鎌倉市
32,fujisawa,藤沢市
33,odawara,小田原市
34,chigasaki,茅ケ崎市
35,zushi,逗子市
36,miura,三浦市
37,hadano,秦野市
38,atsugi,厚木市
39,yamato,大和市
40,isehara,伊勢原市
41,ebiha,海老名市
42,zama,座間市
43,minamiashigara,南足柄市
44,ayase,綾瀬市
45,hayama,三浦郡葉山町
46,samukawa,高座郡寒川町
47,ooisho,中郡大磯町
48,ninomiya,中郡二宮町
49,nakai,足柄上郡中井町
50,ohi,足柄上郡大井町
51,matsuda,足柄上郡松田町
52,yamakita,足柄上郡山北町
53,kaisei,足柄上郡開成町
54,hakone,足柄下郡箱根町
55,manazuru,足柄下郡真鶴町
56,yugawara,足柄下郡湯河原町
57,aikawa,愛甲郡愛川町
58,kiyokawa,愛甲郡清川村